iter,lr,train_loss,val_loss,tokens_seen,elapsed_sec
0,0.0,9.27032012939453,9.269830703735352,16384,0.9081862421007827
250,0.0009997590643643646,3.149120569229126,3.1493465185165403,4112384,12.823229631059803
500,0.0009913533761814538,2.5048925399780275,2.5337026000022886,8208384,24.811640945030376
750,0.0009711576670407966,2.2754830360412597,2.2940767407417297,12304384,37.040218024048954
1000,0.0009397114317029974,2.124331331253052,2.1609819531440735,16400384,49.01774297701195
1250,0.0008978547040132316,2.059807538986206,2.0839127898216248,20496384,61.328501793090254
1500,0.000846705616795031,1.9810111761093139,2.001222825050354,24592384,73.31651951000094
1750,0.0007876305327926657,1.9534420728683473,1.9419770538806915,28688384,85.63572514604311
2000,0.0007222075445642905,1.9151004076004028,1.9222902655601501,32784384,97.63807695603464
2250,0.000652184318365468,1.8612520933151244,1.888162863254547,36880384,110.033536261064
2500,0.0005794314081535645,1.8759676933288574,1.8514753103256225,40976384,122.0212950190762
2750,0.0005058922868516978,1.8784520149230957,1.8102432191371918,45072384,134.37308211403433
3000,0.0004335314297038657,1.7749645471572877,1.7848245739936828,49168384,146.35095884802286
3250,0.00036428183658802237,1.766371774673462,1.7592194736003877,53264384,158.64804820902646
3500,0.00029999339514117897,1.76909658908844,1.7369219183921814,57360384,170.64641764410771
3750,0.000242383464089708,1.748213005065918,1.741364985704422,61456384,182.96468914009165
4000,0.00019299099686894414,1.681088638305664,1.7102114498615264,65552384,194.6154695050791
4250,0.0001531354310432403,1.6848921298980712,1.7008458733558656,69648384,206.92072263604496
4500,0.0001238814417272025,1.6666129589080811,1.6978389084339143,73744384,218.90699778601993
4750,0.00010601050056180446,1.7170134782791138,1.6537433326244355,77840384,231.19694432604592
4999,0.00010000009638285205,1.667862105369568,1.671505045890808,81920000,243.15445777203422
