iter,lr,train_loss,val_loss,tokens_seen,elapsed_sec
0,0.0,9.256033325195313,9.256335258483887,16384,1.0029598070541397
250,0.0009997590643643646,2.827649688720703,2.822442948818207,4112384,15.846798802027479
500,0.0009913533761814538,2.3760087490081787,2.4082335591316224,8208384,28.43183150398545
750,0.0009711576670407966,2.1745484352111815,2.1936524271965028,12304384,41.3341716179857
1000,0.0009397114317029974,2.0301114559173583,2.0741947412490847,16400384,53.921274638036266
1250,0.0008978547040132316,1.9707639455795287,1.9931785345077515,20496384,66.91013368708082
1500,0.000846705616795031,1.902675175666809,1.9166946947574615,24592384,79.50715678406414
1750,0.0007876305327926657,1.863284158706665,1.8519767582416535,28688384,92.39779456600081
2000,0.0007222075445642905,1.8264536619186402,1.836935132741928,32784384,104.98823695804458
2250,0.000652184318365468,1.7723305702209473,1.8083494424819946,36880384,117.88958001905121
2500,0.0005794314081535645,1.7974695682525634,1.7708770513534546,40976384,130.4830695290584
2750,0.0005058922868516978,1.802807903289795,1.7317222237586976,45072384,143.35841147997417
3000,0.0004335314297038657,1.7034435510635375,1.7082923293113708,49168384,155.96901672403328
3250,0.00036428183658802237,1.6900396585464477,1.6805193424224854,53264384,168.91437374206726
3500,0.00029999339514117897,1.6929580926895142,1.6639104962348938,57360384,181.51501529908273
3750,0.000242383464089708,1.6744556665420531,1.6673246264457702,61456384,194.41973186202813
4000,0.00019299099686894414,1.606418824195862,1.6340461909770965,65552384,206.67426055297256
4250,0.0001531354310432403,1.6133416652679444,1.6293061554431916,69648384,219.55282351200003
4500,0.0001238814417272025,1.599670672416687,1.6262223958969115,73744384,232.10642182198353
4750,0.00010601050056180446,1.6425524473190307,1.5834890305995941,77840384,245.01759429404046
4999,0.00010000009638285205,1.5967317581176759,1.601070636510849,81920000,257.55707289197017
