iter,lr,train_loss,val_loss,tokens_seen,elapsed_sec
0,0.0,9.269619750976563,9.268676376342773,16384,0.9442151320399716
250,0.00029992771930930934,3.2043394088745116,3.199069654941559,4112384,13.414373768027872
500,0.0002974060128544361,2.6336260795593263,2.665517807006836,8208384,25.99735076003708
750,0.00029134730011223895,2.4259753704071043,2.4395076632499695,12304384,38.8752154490212
1000,0.0002819134295108992,2.254660129547119,2.29447762966156,16400384,51.43958937993739
1250,0.0002693564112039694,2.1705260276794434,2.198269259929657,20496384,64.4423813399626
1500,0.00025401168503850927,2.08375883102417,2.0951435565948486,24592384,77.04502503096592
1750,0.00023628915983779964,2.0298940658569338,2.018267071247101,28688384,90.03744495601859
2000,0.00021666226336928708,1.992688822746277,1.996839278936386,32784384,102.62613210803829
2250,0.00019565529550964034,1.92657630443573,1.9611765444278717,36880384,115.54292216000613
2500,0.00017382942244606933,1.9587902545928955,1.9275600790977478,40976384,128.1087151230313
2750,0.0001517676860555093,1.9611182928085327,1.8854585886001587,45072384,140.9965734629659
3000,0.0001300594289111597,1.8574750661849975,1.8655060470104217,49168384,153.60579562501516
3250,0.0001092845509764067,1.8503806114196777,1.842068463563919,53264384,166.53604046197142
3500,8.999801854235368e-05,1.8611695051193238,1.8296110510826111,57360384,179.09174014395103
3750,7.271503922691239e-05,1.8447144985198975,1.835331493616104,61456384,191.98728697001934
4000,5.789729906068323e-05,1.778383445739746,1.8066355526447295,65552384,204.21502446196973
4250,4.594062931297208e-05,1.7926408529281617,1.801104575395584,69648384,217.07521240902133
4500,3.7164432518160744e-05,1.7786707401275634,1.8058725714683532,73744384,229.7250148949679
4750,3.180315016854134e-05,1.8280895471572876,1.7619840145111083,77840384,242.30404330301099
4999,3.0000028914855615e-05,1.780295467376709,1.779501336812973,81920000,254.83371628203895
